"año","mes","dia","cantidad","venta"
2018,4,28,329.8,192489.7
2018,11,24,911.2,403799.5
2018,11,24,1526.6,681096
2018,10,29,239.7,140656.1
2019,2,5,204,130938.6
2017,5,27,445.5,276210
2017,11,18,457.5,285114
2018,2,27,226.1,140012.6
2019,3,22,153,97354.4
2017,4,26,550.5,341310
2017,12,16,711,418327.2
2017,9,26,288,183244.8
2017,7,24,603,361862.4
2018,8,16,112.2,72930
2019,1,30,91.8,57547.1
2017,6,30,375,223050
2018,11,23,1047.2,468956.8
2018,12,26,163.2,102481.6
2017,8,26,534,296484
2018,5,27,153,95798.3
2018,6,20,215.9,125388.9
2018,10,3,253.3,160565.6
2019,3,23,222.7,142244.7
2018,3,20,765,410709
2017,7,23,415.5,265920
2018,9,3,249.9,158173.6
2018,2,28,552.5,337620.4
2018,4,28,193.8,120980.6
2019,1,3,319.6,207499.5
2017,9,27,495,269610
2018,8,17,224.4,143845
2017,3,28,409.5,224617.2
2018,10,29,319.6,195308.1
2017,10,24,280.5,174807.6
2018,7,2,367.2,200740.8
2017,11,2,660,403968
2017,2,14,175.5,102807.6
2018,6,21,151.3,88128.3
2018,5,28,360.4,216751.6
2017,6,30,327,193962
2018,12,26,197.2,122289.7
2017,12,15,298.5,181276.8
2018,4,26,263.5,159394.3
2017,7,24,397.5,248352
2017,8,26,583.5,326580
2017,3,26,303,168136.8
2019,2,5,153,98286.5
2017,5,27,313.5,194370
2019,1,3,273.7,166632.7
2017,10,25,372,231830.4
2018,12,27,217.6,135090.8
2017,6,4,643.5,398412
2019,3,24,188.7,122285.8
2018,7,2,469.2,269556.3
2018,4,27,226.1,130136.5
2017,2,14,253.5,149869.2
2018,1,27,209.1,125162.7
2017,10,24,192,119713.2
2017,3,27,921,466686
2018,10,2,122.4,77806.3
2018,5,28,450.5,261539.2
2019,1,30,241.4,156209.3
2018,6,20,460.7,269033.7
2017,5,28,498,308760
2017,3,26,495,274227.6
2018,4,29,239.7,138570.9
2017,4,26,315,195253.2
2017,1,24,664.5,344252.4
2017,8,28,445.5,266640
2019,3,25,363.8,226630.3
2018,3,21,530.4,284450.4
2017,6,29,348,206226
2018,7,20,487.9,277942.6
2018,1,28,260.1,154836.5
2017,11,2,402,225794.4
2017,10,25,393,213986.4
2019,2,6,226.1,145618.2
2018,2,3,125.8,78516.1
2018,6,21,350.2,204820.2
2019,1,29,294.1,188672.9
2018,9,30,697,353416.7
2018,11,25,1125.4,502045.7
2017,3,27,621,339007.2
2017,4,27,537,332940
2017,1,22,642,310014
2017,12,17,420,243312
2018,4,20,217.6,135392.4
2018,8,17,183.6,119340
2019,2,7,166.6,107367
